Filename,L1,L2,SSIM
0000_fake_B_2.png,43.21947224934896,57.8054494926575,0.49935963460449484
0001_fake_B_2.png,39.32017517089844,55.295810355423455,0.5757491580308135
0002_fake_B_2.png,58.76226298014323,76.44947575983403,0.4967335859825052
0003_fake_B_2.png,44.74059041341146,60.963551122204876,0.6581891953640512
0004_fake_B_2.png,42.26361592610677,57.09433248689421,0.624713769125333
0005_fake_B_2.png,56.51996866861979,69.81163533903884,0.5297856464716936
0006_fake_B_2.png,66.08219909667969,81.37368674910583,0.48135147460297195
0007_fake_B_2.png,39.375081380208336,53.1115136834019,0.4996718509958848
0008_fake_B_2.png,41.97807312011719,56.72912585700289,0.5102966043462406
0009_fake_B_2.png,33.70910135904948,48.37946661043393,0.5389644130944409
0010_fake_B_2.png,37.8912099202474,57.70310106852841,0.4787834026013555
0011_fake_B_2.png,41.22099304199219,54.81873024272639,0.5787744233341411
0012_fake_B_2.png,60.25250244140625,85.92287967490152,0.46550283792108954
0013_fake_B_2.png,39.4196523030599,54.637924841761674,0.4993437641013063
0014_fake_B_2.png,38.99471537272135,53.42481512722885,0.44279300001131644
0015_fake_B_2.png,56.83213806152344,72.3282906434316,0.4986604331953894
0016_fake_B_2.png,57.71306864420573,71.86703926560745,0.5171032589303758
0017_fake_B_2.png,58.21941121419271,70.87940738347,0.41972482287278606
0018_fake_B_2.png,66.1460469563802,83.9416534388472,0.47337215529761334
0019_fake_B_2.png,94.43953450520833,108.9383067022567,0.5097951647954044
0020_fake_B_2.png,53.05900573730469,67.93082780544492,0.5441871460222107
0021_fake_B_2.png,45.7198740641276,61.7315601404555,0.5918842695182355
0022_fake_B_2.png,59.86439005533854,84.9247377981698,0.5485601761872673
0023_fake_B_2.png,57.13268534342448,76.2757479193907,0.5214668057705153
0024_fake_B_2.png,57.73490905761719,78.94506480741079,0.5476710557772227
0025_fake_B_2.png,65.10926310221355,88.73503085413107,0.46767646015058384
0026_fake_B_2.png,50.41755167643229,65.757099807779,0.5476176839789703
0027_fake_B_2.png,46.54654439290365,62.01550800430669,0.5945369489281234
0028_fake_B_2.png,63.48920694986979,86.60763333151303,0.5017829354013708
0029_fake_B_2.png,59.90377298990885,79.27585905955567,0.5439296713315952
0030_fake_B_2.png,49.049468994140625,65.14190895582394,0.6182724443463591
0031_fake_B_2.png,57.374308268229164,73.51341426172516,0.5840669359062656
0032_fake_B_2.png,42.67911275227865,58.09672185564966,0.5856078247372513
0033_fake_B_2.png,50.682891845703125,66.16826726993733,0.5761388093905401
0034_fake_B_2.png,68.14482116699219,93.74767816677799,0.5148780116783759
0035_fake_B_2.png,60.07768758138021,88.41142924260076,0.5080779679993851
0036_fake_B_2.png,41.976104736328125,58.051352381717635,0.500859227617179
0037_fake_B_2.png,69.01288350423177,98.1361371824971,0.47304127200885365
0038_fake_B_2.png,52.95267232259115,77.9655102828198,0.522313472661333
0039_fake_B_2.png,52.97010294596354,74.2588881322237,0.4764340085269419
0040_fake_B_2.png,49.51461283365885,63.795229476148045,0.6622567300277503
0041_fake_B_2.png,53.59380594889323,73.16334975710629,0.5359235050390296
0042_fake_B_2.png,57.73320515950521,79.83419981972713,0.5339844797523309
0043_fake_B_2.png,57.9384511311849,81.44892256312748,0.5382257690642945
0044_fake_B_2.png,55.538798014322914,76.56005682751477,0.5527297962646189
0045_fake_B_2.png,61.95770263671875,79.47721654683531,0.4959669130623457
0046_fake_B_2.png,45.62205505371094,63.58396814645201,0.596755395713145
0047_fake_B_2.png,54.28821309407552,73.64810617726515,0.4981833640587599
0048_fake_B_2.png,41.24618021647135,56.343764488654195,0.544139522883703
0049_fake_B_2.png,50.53105163574219,68.11953696648503,0.5541456029982276
